488,J0154+4743,54:56.3,+47:43:26.0000
489,J0155+2230,55:58.9,+22:30:11.0000
490,J0200-1356,00:58.3,-13:56:18.0000
491,J0200-1542,00:51.1,-15:42:36.0000
492,J0202+3943,02:01.7,+39:43:21.0000
493,J0202+4205,02:43.6,+42:05:15.9900
494,J0202-0559,02:06.9,-05:59:00.0000
495,J0202-1948,02:13.8,-19:48:19.0000
496,J0203+1134,03:46.7,+11:34:45.0000
497,J0203+7232,03:33.4,+72:32:53.0100
498,J0204+1514,04:50.4,+15:14:11.0000
499,J0204+4005,04:05.2,+40:05:02.9900
500,J0204-1701,04:57.7,-17:01:19.0000
501,J0205+3212,05:04.9,+32:12:30.0100
502,J0205+3932,05:14.0,+39:32:57.0000
503,J0206-1150,06:26.1,-11:50:39.0000
504,J0209+1352,09:36.0,+13:52:00.0000
505,J0209+7229,09:51.8,+72:29:26.0000
506,J0210-1444,10:23.2,-14:44:59.0000
507,J0211+1051,11:13.2,+10:51:34.0000
508,J0211-1558,11:49.8,-15:58:18.0000
509,J0213+1820,13:10.5,+18:20:25.0000
510,J0213+8717,13:57.8,+87:17:27.9900
511,J0215-0222,15:42.0,-02:22:56.0000
512,J0217+0144,17:49.0,+01:44:49.0000
513,J0217+0837,17:17.1,+08:37:03.0000
514,J0217+7349,17:30.8,+73:49:31.9900
515,J0219+0120,19:07.0,+01:20:59.0000
516,J0219+4727,19:23.4,+47:27:40.0100
517,J0219-1842,19:21.2,-18:42:38.0000
518,J0220-1305,20:28.2,-13:05:19.0000
519,J0221+3556,21:05.5,+35:56:13.0100
520,J0222-1615,22:00.7,-16:15:16.0000
521,J0224+0659,24:28.4,+06:59:23.0000
522,J0225+1846,25:04.7,+18:46:48.0000
523,J0226-1843,26:47.6,-18:43:39.0000
524,J0230+4032,30:45.7,+40:32:52.9900
525,J0231+1322,31:45.9,+13:22:54.0000
526,J0237+0526,37:14.0,+05:26:49.0000
527,J0237+2848,37:52.4,+28:48:09.0000
528,J0237+3022,37:21.8,+30:22:59.0000
529,J0238+1636,38:38.9,+16:36:59.0000
530,J0239+0416,39:51.3,+04:16:21.0000
531,J0239-0234,39:45.5,-02:34:41.0000
532,J0240+1848,40:42.8,+18:48:00.0000
533,J0240+4216,40:05.3,+42:16:22.0000
534,J0241-0815,41:04.8,-08:15:20.0000
535,J0242+1101,42:29.2,+11:01:00.0000
536,J0242+1742,42:24.3,+17:42:58.0000
537,J0242+2653,42:20.8,+26:53:37.0000
538,J0243+7120,43:30.9,+71:20:17.8890
539,J0243-0550,43:12.5,-05:50:55.0000
540,J0245-1107,45:25.0,-11:07:16.0000
541,J0246-1236,46:58.5,-12:36:30.0000
542,J0249+0619,49:18.0,+06:19:52.0000
543,J0250+1708,50:17.4,+17:08:08.3010
544,J0251+3734,51:59.2,+37:34:18.0000
545,J0251+4315,51:34.5,+43:15:15.0000
546,J0251+7226,51:37.4,+72:26:54.9900
547,J0254+2343,54:24.7,+23:43:26.0100
548,J0254+3931,54:42.6,+39:31:34.0000
549,J0256+1542,56:54.9,+15:42:43.0000
550,J0257+1847,57:45.6,+18:47:05.0000
551,J0257+7843,57:52.6,+78:43:47.0000
552,J0257-1212,57:41.0,-12:12:01.0000
553,J0258+0541,58:50.5,+05:41:08.0000
554,J0259+0747,59:27.1,+07:47:39.6000
555,J0259-0018,59:28.5,-00:18:00.0000
556,J0305+0523,05:48.2,+05:23:31.0000
557,J0309+1029,09:03.6,+10:29:16.0000
558,J0309-0559,09:23.3,-05:59:20.0000
559,J0310+3814,10:49.9,+38:14:53.0000
560,J0312+0133,12:43.6,+01:33:17.0000
561,J0313+4120,13:02.0,+41:20:01.0000
562,J0315-1031,15:56.9,-10:31:39.3990
563,J0315-1656,15:27.7,-16:56:28.9900
564,J0318-0029,18:14.4,-00:29:48.0000
565,J0319+1901,19:51.3,+19:01:31.0000
566,J0319+4130,19:48.2,+41:30:42.0000
567,J0319+6949,19:22.1,+69:49:24.9900
568,J0319-1613,19:05.5,-16:13:47.0000
569,J0322+3948,22:51.8,+39:48:02.0000
570,J0323+0145,23:09.9,+01:45:50.0000
571,J0325+2224,25:36.8,+22:24:00.0000
572,J0327+0044,27:59.2,+00:44:22.0000
573,J0329+3510,29:15.4,+35:10:06.0100
574,J0334+0800,34:53.3,+08:00:14.0000
575,J0336-1302,36:35.0,-13:02:04.0000
576,J0338+3106,38:00.3,+31:06:09.0000
577,J0339-0133,39:01.0,-01:33:17.6000
578,J0339-0146,39:30.9,-01:46:35.0000
579,J0341+3352,41:10.0,+33:52:20.9900
580,J0343+3622,43:29.0,+36:22:12.0000
581,J0345+1453,45:06.4,+14:53:49.0000
582,J0348-1610,48:39.3,-16:10:17.0000
583,J0351-1153,51:11.0,-11:53:22.0000
584,J0354+8009,54:46.1,+80:09:28.7900
585,J0357+0542,57:46.1,+05:42:31.0000
586,J0357+2319,57:21.6,+23:19:53.0100
587,J0359+2758,59:27.9,+27:58:24.0000
588,J0359+3220,59:44.9,+32:20:46.9900
589,J0400+0550,00:11.7,+05:50:43.0000
590,J0401+0413,01:19.9,+04:13:34.0000
591,J0401+2110,01:45.2,+21:10:28.0000
592,J0401-1606,01:06.6,-16:06:39.0000
593,J0403+2600,03:05.6,+26:00:01.0000
594,J0405-0739,05:00.9,-07:39:21.0000
595,J0405-1308,05:34.0,-13:08:14.6010
596,J0406+0637,06:34.3,+06:37:15.0000
597,J0407+0742,07:29.1,+07:42:07.0000
598,J0408-0122,08:19.6,-01:22:30.0000
599,J0409+1217,09:22.0,+12:17:39.0000
600,J0409-1238,09:05.8,-12:38:48.0000
601,J0412+0010,12:33.5,+00:10:48.0000
602,J0412+0438,12:38.2,+04:38:06.0000
603,J0412+1856,12:45.9,+18:56:37.0000
604,J0414+3418,14:37.3,+34:18:51.0000
605,J0416+0105,16:52.5,+01:05:23.9000
606,J0416-1851,16:36.5,-18:51:08.0000
607,J0422+0219,22:52.2,+02:19:26.0000
